name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
FBMKLCI-H6Q: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06506Q,19-Apr-19,7:11 PM,-,-,-,0.14,0,0.000 / 0,0.160 / 499
FBMKLCI-H6R: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06506R,19-Apr-19,7:11 PM,-,-,-,0.24,0,0.000 / 0,0.000 / 0
FBMKLCI-H6S: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06506S,19-Apr-19,7:11 PM,0.36,0.36,0.36,0.36,"3,500",0.000 / 0,0.000 / 0
FBMKLCI-H6T: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06506T,19-Apr-19,7:11 PM,0.135,0.135,0.135,0.135,"1,575",0.000 / 0,0.000 / 0
FBMKLCI-H6U: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06506U,19-Apr-19,7:11 PM,-,-,-,0.265,0,0.000 / 0,0.300 / 100
FBMKLCI-H6V: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06506V,19-Apr-19,7:11 PM,-,-,-,0.28,0,0.280 / 200,0.000 / 0
FBMKLCI-H6W: PW FTSE BURSA MALAYSIA KLCI INDEX (MIBB),06506W,19-Apr-19,7:11 PM,-,-,-,0.18,0,0.000 / 0,0.190 / 500
FBMKLCI-H6X: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06506X,19-Apr-19,7:11 PM,0.155,0.155,0.155,0.155,400,0.000 / 0,0.000 / 0
FBMKLCI-H6Y: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06506Y,19-Apr-19,7:11 PM,0.23,0.23,0.23,0.23,"1,000",0.000 / 0,0.000 / 0
FBMKLCI-H6Z: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06506Z,19-Apr-19,7:11 PM,0.315,0.315,0.315,0.315,100,0.000 / 0,0.000 / 0
FBMKLCI-H8A: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06508A,19-Apr-19,7:11 PM,-,-,-,0.425,0,0.000 / 0,0.000 / 0
FBMKLCI-H8B: PW FTSE BURSA MALAYSIA KLCI INDEX (MIBB),06508B,19-Apr-19,7:11 PM,-,-,-,0.095,0,0.090 / 250,0.000 / 0
FBMKLCI-H8C: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06508C,19-Apr-19,7:11 PM,-,-,-,0.135,0,0.135 / 250,0.000 / 0
FCW HOLDINGS BHD,2755,19-Apr-19,7:11 PM,-,-,-,0.715,0,0.720 / 100,0.850 / 118
FGV HOLDINGS BERHAD,5222,19-Apr-19,7:11 PM,1.2,1.19,1.23,1.23,"113,602","1.220 / 3,245",1.230 / 215
FGV-C55: CW FGV HOLDINGS BERHAD (CIMB),522255,19-Apr-19,7:11 PM,0.005,0.005,0.005,0.005,10,0.000 / 0,"0.005 / 3,437"
FGV-C58: CW FGV HOLDINGS BERHAD (CIMB),522258,19-Apr-19,7:11 PM,0.005,0.005,0.005,0.005,"11,542","0.005 / 2,659","0.010 / 8,871"
FGV-C59: CW FGV HOLDINGS BERHAD (MACQ),522259,19-Apr-19,7:11 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
FGV-C61: CW FGV HOLDINGS BERHAD (MACQ),522261,19-Apr-19,7:11 PM,-,-,-,0.015,0,0.000 / 0,0.030 / 10
FGV-C62: CW FGV HOLDINGS BERHAD (RHB),522262,19-Apr-19,7:11 PM,0.075,0.075,0.085,0.08,"30,002","0.080 / 7,200","0.085 / 4,174"
FGV-C63: CW FGV HOLDINGS BERHAD (MACQ),522263,19-Apr-19,7:11 PM,0.175,0.175,0.18,0.18,"4,468","0.180 / 1,608",0.185 / 600
